매장순위(상품),,,,,,,,,
매장,대분류,중분류,상품코드,바코드,상품명,수량,총매출액,할인액,실매출액
달빛에구운고등어전북도청점,식사류,식사류,000170,,고등어조림,508,"7,112,000","5,206","7,106,794"
달빛에구운고등어전북도청점,000,000,000269,,리뷰이벤트아이스홍시,77,0,0,0
달빛에구운고등어전북도청점,000,000,000271,,리뷰이벤트음료,131,0,0,0
달빛에구운고등어전북도청점,판매상품,판매상품,000031,,아몬드,7,"28,000",0,"28,000"
달빛에구운고등어전북도청점,판매상품,판매상품,000033,,동전꾸이,4,"16,000",0,"16,000"
달빛에구운고등어전북도청점,옵션,옵션,000014,,포장비(조림),95,"47,500",0,"47,500"
달빛에구운고등어전북도청점,옵션,옵션,000015,,포장비(구이),71,"35,500",0,"35,500"
달빛에구운고등어전북도청점,옵션,옵션,000024,,공기밥,949,"949,000",900,"948,100"
달빛에구운고등어전북도청점,옵션,옵션,000028,,포장용기 소,191,0,0,0
달빛에구운고등어전북도청점,옵션,옵션,000049,,배달료,52,"157,700",544,"157,156"
달빛에구운고등어전북도청점,옵션,옵션,000051,,배달료,54,"104,200",0,"104,200"
달빛에구운고등어전북도청점,옵션,옵션,000053,,배달료,16,"65,000",515,"64,485"
달빛에구운고등어전북도청점,옵션,옵션,000069,,계란말이,54,"108,000",0,"108,000"
달빛에구운고등어전북도청점,옵션,옵션,000070,,포장비,79,"47,000",0,"47,000"
달빛에구운고등어전북도청점,옵션,옵션,000118,,직원호출,126,0,0,0
달빛에구운고등어전북도청점,옵션,옵션,000119,,물컵,40,0,0,0
달빛에구운고등어전북도청점,옵션,옵션,000120,,물티슈,9,0,0,0
달빛에구운고등어전북도청점,옵션,옵션,000121,,냅킨,2,0,0,0
달빛에구운고등어전북도청점,옵션,옵션,000122,,앞접시,14,0,0,0
달빛에구운고등어전북도청점,옵션,옵션,000124,,수저,7,0,0,0
달빛에구운고등어전북도청점,옵션,옵션,000125,,젓가락,23,0,0,0
달빛에구운고등어전북도청점,옵션,옵션,000155,,아이스홍시,47,"117,500","2,000","115,500"
달빛에구운고등어전북도청점,옵션,옵션,000272,,백미새우장(6미),98,"490,000",20,"489,980"
달빛에구운고등어전북도청점,모듬,모듬,000105,,모듬구이 2인,472,"18,408,000","4,000","18,404,000"
달빛에구운고등어전북도청점,모듬,모듬,000106,,모듬구이3인,309,"16,369,000",0,"16,369,000"
달빛에구운고등어전북도청점,모듬,모듬,000152,,모듬구이4인,119,"8,568,000",0,"8,568,000"
달빛에구운고등어전북도청점,티오더전용,티오더전용,000016,,t-고추장불고기,237,0,0,0
달빛에구운고등어전북도청점,티오더전용,티오더전용,000090,,t-고등어조림,122,0,0,0
달빛에구운고등어전북도청점,티오더전용,티오더전용,000175,,t-소뚝불고기,67,"100,500",0,"100,500"
달빛에구운고등어전북도청점,티오더전용,티오더전용,000328,,t-고등어반마리,16,"64,000",0,"64,000"
달빛에구운고등어전북도청점,티오더전용,티오더전용,000415,,t-매운양념추가,41,"41,000",0,"41,000"
달빛에구운고등어전북도청점,티오더전용,티오더전용,000416,,t-반반양념변경,182,"182,000",0,"182,000"
달빛에구운고등어전북도청점,하이오더전용,하이오더전용,000422,,반반양념변경,76,"76,000",0,"76,000"
달빛에구운고등어전북도청점,달빛고특선,달빛고특선,000327,,벌교꼬막비빔밥T,192,"2,304,000",0,"2,304,000"
달빛에구운고등어전북도청점,달빛고특선,달빛고특선,000387,,달빛1인       (고/무침),180,"2,700,000",0,"2,700,000"
달빛에구운고등어전북도청점,달빛고특선,달빛고특선,000388,,보름2인      (고/삼/불),338,"10,816,000",0,"10,816,000"
달빛에구운고등어전북도청점,달빛고특선,달빛고특선,000418,,(점)달빛1인     (고/무침),445,"6,452,500",0,"6,452,500"
달빛에구운고등어전북도청점,어린이,어린이,000061,,어린이고등어,106,"1,060,000",0,"1,060,000"
달빛에구운고등어전북도청점,어린이,어린이,000244,,어린이스테이크,73,"803,000",0,"803,000"
소계:달빛에구운고등어전북도청점,,,,,,"10,919","150,598,900","109,500","150,489,400"
달빛에구운고등어(아중점),주류,주류,000003,,막걸리,63,"220,500",0,"220,500"
달빛에구운고등어(아중점),주류,주류,000004,,코카콜라,126,"315,000",0,"315,000"
달빛에구운고등어(아중점),주류,주류,000005,,사이다,73,"182,500",0,"182,500"
달빛에구운고등어(아중점),주류,주류,000006,,환타,53,"132,500",0,"132,500"
달빛에구운고등어(아중점),주류,주류,000043,,참이슬,206,"1,030,000",0,"1,030,000"
달빛에구운고등어(아중점),주류,주류,000045,,카스,87,"435,000",0,"435,000"
달빛에구운고등어(아중점),주류,주류,000046,,테라,24,"120,000",0,"120,000"
달빛에구운고등어(아중점),주류,주류,000073,,진로,51,"255,000",0,"255,000"
달빛에구운고등어(아중점),주류,주류,000094,,새로,63,"315,000",0,"315,000"
달빛에구운고등어(아중점),주류,주류,000096,,청하,4,"24,000",0,"24,000"
달빛에구운고등어(아중점),주류,주류,000102,,처음처럼,39,"195,000",0,"195,000"
달빛에구운고등어(아중점),주류,주류,000138,,별빛청하,6,"36,000",0,"36,000"
달빛에구운고등어(아중점),생선구이,생선구이,000017,,고등어1마리,"1,070","16,585,000",0,"16,585,000"
달빛에구운고등어(아중점),생선구이,생선구이,000020,,삼치 1마리,177,"2,920,500",0,"2,920,500"
달빛에구운고등어(아중점),생선구이,생선구이,000021,,임연수구이,105,"1,785,000",0,"1,785,000"
달빛에구운고등어(아중점),생선구이,생선구이,000022,,갈치구이,327,"6,867,000",0,"6,867,000"
달빛에구운고등어(아중점),생선구이,생선구이,000039,,보리굴비구이,38,"950,000",0,"950,000"
달빛에구운고등어(아중점),생선구이,생선구이,000153,,뽈락구이,163,"2,771,000",0,"2,771,000"
달빛에구운고등어(아중점),생선구이,생선구이,000240,,고등어 (반),469,"5,862,500",0,"5,862,500"
달빛에구운고등어(아중점),생선구이,생선구이,000421,,삼치 (반),196,"2,450,000",0,"2,450,000"
달빛에구운고등어(아중점),식사류,식사류,000091,,고추장불고기,306,"4,284,000",0,"4,284,000"
달빛에구운고등어(아중점),식사류,식사류,000167,,소뚝불고기,125,"1,937,500",0,"1,937,500"
달빛에구운고등어(아중점),식사류,식사류,000170,,고등어조림,390,"5,460,000",0,"5,460,000"
달빛에구운고등어(아중점),000,000,000134,,리뷰이벤트새우장2미,54,0,0,0
달빛에구운고등어(아중점),000,000,000269,,리뷰이벤트아이스홍시,36,0,0,0
달빛에구운고등어(아중점),000,000,000271,,리뷰이벤트음료,82,0,0,0
달빛에구운고등어(아중점),옵션,옵션,000014,,포장비(조림),114,"57,000",0,"57,000"
달빛에구운고등어(아중점),옵션,옵션,000015,,포장비(구이),431,"215,500",0,"215,500"
달빛에구운고등어(아중점),옵션,옵션,000024,,공기밥,630,"630,000",0,"630,000"
달빛에구운고등어(아중점),옵션,옵션,000049,,배달료,9,"27,000",0,"27,000"
달빛에구운고등어(아중점),옵션,옵션,000097,,물,27,0,0,0
달빛에구운고등어(아중점),옵션,옵션,000101,,직원호출,173,0,0,0
달빛에구운고등어(아중점),옵션,옵션,000123,,앞치마,9,0,0,0
달빛에구운고등어(아중점),옵션,옵션,000124,,수저,5,0,0,0
달빛에구운고등어(아중점),옵션,옵션,000125,,젓가락,4,0,0,0
달빛에구운고등어(아중점),옵션,옵션,000155,,아이스홍시,30,"75,000",0,"75,000"
달빛에구운고등어(아중점),옵션,옵션,000272,,백미새우장(6미),46,"230,000",0,"230,000"
달빛에구운고등어(아중점),모듬,모듬,000105,,모듬구이 2인,359,"14,001,000",0,"14,001,000"
달빛에구운고등어(아중점),모듬,모듬,000106,,모듬구이3인,294,"15,582,000",0,"15,582,000"
달빛에구운고등어(아중점),모듬,모듬,000152,,모듬구이4인,165,"11,880,000",0,"11,880,000"
달빛에구운고등어(아중점),안쓰는 메뉴,안쓰는 메뉴,000277,,기타상품,26,"260,000",0,"260,000"
달빛에구운고등어(아중점),티오더전용,티오더전용,000016,,t-고추장불고기,194,0,0,0
달빛에구운고등어(아중점),티오더전용,티오더전용,000090,,t-고등어조림,153,0,0,0
달빛에구운고등어(아중점),티오더전용,티오더전용,000175,,t-소뚝불고기,112,"168,000",0,"168,000"
달빛에구운고등어(아중점),티오더전용,티오더전용,000328,,t-고등어반마리,5,"20,000",0,"20,000"
달빛에구운고등어(아중점),티오더전용,티오더전용,000415,,t-매운양념추가,22,"22,000",0,"22,000"
달빛에구운고등어(아중점),티오더전용,티오더전용,000416,,t-반반양념변경,109,"109,000",0,"109,000"
달빛에구운고등어(아중점),하이오더전용,하이오더전용,000422,,반반양념변경,3,"3,000",0,"3,000"
달빛에구운고등어(아중점),달빛고특선,달빛고특선,000327,,벌교꼬막비빔밥T,94,"1,128,000",0,"1,128,000"
달빛에구운고등어(아중점),달빛고특선,달빛고특선,000387,,달빛1인       (고/무침),248,"3,720,000",0,"3,720,000"
달빛에구운고등어(아중점),달빛고특선,달빛고특선,000388,,보름2인      (고/삼/불),309,"9,888,000",0,"9,888,000"
달빛에구운고등어(아중점),달빛고특선,달빛고특선,000418,,(점)달빛1인     (고/무침),357,"5,176,500",0,"5,176,500"
달빛에구운고등어(아중점),어린이,어린이,000061,,어린이고등어,69,"690,000",0,"690,000"
달빛에구운고등어(아중점),어린이,어린이,000244,,어린이스테이크,70,"770,000",0,"770,000"
소계:달빛에구운고등어(아중점),,,,,,"8,400","119,785,000",0,"119,785,000"
달빛에구운고등어(모현점),주류,주류,000003,,막걸리,1,"4,000",0,"4,000"
달빛에구운고등어(모현점),주류,주류,000004,,코카콜라,124,"310,000",0,"310,000"
달빛에구운고등어(모현점),주류,주류,000005,,사이다,86,"215,000",0,"215,000"
달빛에구운고등어(모현점),주류,주류,000006,,환타,52,"130,000",0,"130,000"
달빛에구운고등어(모현점),주류,주류,000013,,제로펩시,118,"295,000",0,"295,000"
달빛에구운고등어(모현점),주류,주류,000034,,식혜,15,"45,000",0,"45,000"
달빛에구운고등어(모현점),주류,주류,000043,,참이슬,130,"650,000",0,"650,000"
