매장명,작성일,방문시간,동반자,고객반응_포인트,리뷰내용,감정분석,매장_TOP인기반응
달빛에구운고등어 파주심학산점,2026-02-15,,,음식이 맛있어요,리뷰 15 2 2.15.일,중립,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-02-15,,,음식이 맛있어요,2.15.일,중립,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-07,,,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 인테리어가 멋져요",리뷰 6 3 점심에 방문 기념일친척・형제자매 4.7.화,중립,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-07,,점심에 방문  연인・배우자,"음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 매장이 넓어요, 친절해요",리뷰 7 6 4.7.화,중립,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-07,,점심에 방문  친구,"음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요",리뷰 5 5 깔끔하고 찬도 가짓수가 많고 너무 맛있어요 자주 오게될것 같아요~ 4.7.화,긍정,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-07,,점심에 방문  일상아이,"음식이 맛있어요, 매장이 넓어요, 친절해요, 화장실이 깨끗해요, 매장이 청결해요",리뷰 40 13 주차가 편하고 매장도 넓고 쾌적해요^^ 4.7.화,긍정,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-07,,점심에 방문  일상친구,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 매장이 넓어요, 매장이 청결해요",리뷰 11 25 4.7.화,중립,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-07,,점심에 방문  일상아이,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 매장이 넓어요",리뷰 25 28 점심으로 배부르게 먹고왔어요. 푸짐하고 깨끗하고 무엇보다 맛있어요!!! 재방문의사 백퍼센트입니다 4.7.화,긍정,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-07,,점심에 방문  일상부모님,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 매장이 넓어요, 친절해요",리뷰 28 40 건강한 반찬들도 많고 생선도 너무 맛있어요 지인들 자주 데려올려구요! 4.7.화,긍정,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-07,,점심에 방문  친목부모님,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요, 매장이 넓어요",리뷰 63 73 메뉴가 다양하고 깔끔해서 좋아요 4.7.화,긍정,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-07,,,"음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 매장이 넓어요, 혼밥하기 좋아요",리뷰 73 208 점심에 방문 일상연인・배우자 첫 번째 먹어 보고 맛있어서 두 번째 방문 합니다 4.7.화,긍정,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
달빛에구운고등어 파주심학산점,2026-04-07,,점심에 방문  일상부모님,"음식이 맛있어요, 재료가 신선해요, 매장이 넓어요, 인테리어가 멋져요, 화장실이 깨끗해요",리뷰 42 71팔로워 2 가적과 함께 첫방문.. 와우 매장 크기에 놀라고 주차장과 화장실이 깨끗해서 놀라고 양과 맛에 샐러드바에 또 놀라고 즉석 계란말이는 내 취향 저격 메인메뉴는 반도 못 먹웄네요. 신선한 샐러드와 화덕에 구워 수분을 가득 겉바속촉 생선구이 추천 합니다. 매장이 넓고 쾌적해서 가족 및 동호회 모임도 좋을것 같아요. ^^* 접기 4.7.화,긍정,"생선(102), 생선구이(50), 고등어(37), 계란말이(24), 샐러드(22), 고등어구이(9), 누룽지(9), 불고기(9), 고추장불고기(8), 잡채(8)"
